rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
27,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,240,240,2785,2785,2545,2545,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,240,240
28,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,238,238,238,238,0,0,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,238,238
29,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,235,235,2603,2603,2368,2368,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,235,235
30,arniber21,arniber21,https://github.com/arniber21,1,0,1,217,217,244,244,27,27,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,217,217
31,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,211,211,1883,1883,1672,1672,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,211,211
32,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,211,211,211,211,0,0,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,211,211
33,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,205,205,1664,1664,1459,1459,snapshot_2026_09_08.json,snapshot_2026_08_09.json,205,205,0,0
34,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,171,171,1353,1353,1182,1182,snapshot_2026_09_08.json,snapshot_2026_08_09.json,171,171,0,0
35,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,154,154,1516,1516,1362,1362,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,154,154
36,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,127,127,172,172,45,45,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,127,127
37,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,106,106,246,246,140,140,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,106,106
38,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,2,0,2,103,103,103,103,0,0,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,103,103
39,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,94,94,94,94,0,0,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,94,94
40,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,93,93,297,297,204,204,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,93,93
41,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,82,82,127,127,45,45,snapshot_2026_09_08.json,snapshot_2026_08_09.json,82,82,0,0
42,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,1,1,0,80,80,607,607,527,527,snapshot_2026_09_08.json,snapshot_2026_08_09.json,80,80,0,0
43,JcPires,JcPires,https://github.com/JcPires,1,1,0,80,80,93,93,13,13,snapshot_2026_09_08.json,snapshot_2026_08_09.json,80,80,0,0
44,bean1322,bean1322,https://github.com/bean1322,2,2,0,74,74,195,195,121,121,snapshot_2026_09_08.json,snapshot_2026_08_09.json,74,74,0,0
45,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,62,62,369,369,307,307,snapshot_2026_09_08.json,snapshot_2026_08_09.json,62,62,0,0
46,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,50,50,144,144,94,94,snapshot_2026_09_08.json,snapshot_2026_08_09.json,50,50,0,0
47,hernang87,hernang87,https://github.com/hernang87,1,1,0,50,50,142,142,92,92,snapshot_2026_09_08.json,snapshot_2026_08_09.json,50,50,0,0
48,giannons46,giannons46,https://github.com/giannons46,1,1,0,49,49,170,170,121,121,snapshot_2026_09_08.json,snapshot_2026_08_09.json,49,49,0,0
49,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,37,37,163,163,126,126,snapshot_2026_09_08.json,snapshot_2026_08_09.json,37,37,0,0
50,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,16,16,212,212,196,196,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,16,16
51,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,11,11,314,314,303,303,snapshot_2026_09_08.json,snapshot_2026_08_09.json,11,11,0,0
52,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,7,7,379,379,372,372,snapshot_2026_09_08.json,snapshot_2026_08_09.json,7,7,0,0
53,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,3,3,268,268,265,265,snapshot_2026_09_08.json,snapshot_2026_08_09.json,3,3,0,0
54,IMB11,IMB11,https://github.com/IMB11,2,0,2,0,0,1288,1288,1288,1288,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,0,0
55,matematysek,matematysek,https://github.com/matematysek,1,0,1,0,0,23,23,23,23,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,0,0
56,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,2,0,0,0,0,0,0,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,0,0
