rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
59,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,43,43,1206,1206,1163,1163,snapshot_2026_08_13.json,snapshot_2026_08_06.json
60,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,43,43,295,295,252,252,snapshot_2026_08_13.json,snapshot_2026_08_06.json
61,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,42,42,417,417,375,375,snapshot_2026_08_13.json,snapshot_2026_08_06.json
62,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,41,41,577,577,536,536,snapshot_2026_08_13.json,snapshot_2026_08_06.json
63,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,41,41,338,338,297,297,snapshot_2026_08_13.json,snapshot_2026_08_06.json
64,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,41,41,290,290,249,249,snapshot_2026_08_13.json,snapshot_2026_08_06.json
65,pswbsf/connecticut-usa,connecticut-usa,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,41,41,253,253,212,212,snapshot_2026_08_13.json,snapshot_2026_08_06.json
66,pswbsf/buffalo-ny,buffalo-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,41,41,252,252,211,211,snapshot_2026_08_13.json,snapshot_2026_08_06.json
67,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,41,41,250,250,209,209,snapshot_2026_08_13.json,snapshot_2026_08_06.json
68,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,muffintime,https://github.com/crumpetime,1,41,41,217,217,176,176,snapshot_2026_08_13.json,snapshot_2026_08_06.json
69,pswbsf/charleston-sc,charleston-sc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,41,41,212,212,171,171,snapshot_2026_08_13.json,snapshot_2026_08_06.json
70,crumpetime/sb-maps-rdu,sb-maps-rdu,crumpetime,muffintime,https://github.com/crumpetime,1,41,41,201,201,160,160,snapshot_2026_08_13.json,snapshot_2026_08_06.json
71,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,41,41,178,178,137,137,snapshot_2026_08_13.json,snapshot_2026_08_06.json
72,bean1322/akron-oh-map,akron-oh-map,bean1322,bean1322,https://github.com/bean1322,1,41,41,150,150,109,109,snapshot_2026_08_13.json,snapshot_2026_08_06.json
73,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,muffintime,https://github.com/crumpetime,1,40,40,421,421,381,381,snapshot_2026_08_13.json,snapshot_2026_08_06.json
74,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,40,40,298,298,258,258,snapshot_2026_08_13.json,snapshot_2026_08_06.json
75,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,40,40,297,297,257,257,snapshot_2026_08_13.json,snapshot_2026_08_06.json
76,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,40,40,285,285,245,245,snapshot_2026_08_13.json,snapshot_2026_08_06.json
77,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,40,40,268,268,228,228,snapshot_2026_08_13.json,snapshot_2026_08_06.json
78,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,40,40,241,241,201,201,snapshot_2026_08_13.json,snapshot_2026_08_06.json
79,crumpetime/sb-maps-msy,sb-maps-msy,crumpetime,muffintime,https://github.com/crumpetime,1,40,40,237,237,197,197,snapshot_2026_08_13.json,snapshot_2026_08_06.json
80,phineapoo/willamette-valley-or,Willamette-Valley-OR,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,40,40,213,213,173,173,snapshot_2026_08_13.json,snapshot_2026_08_06.json
81,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,40,40,210,210,170,170,snapshot_2026_08_13.json,snapshot_2026_08_06.json
82,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,40,40,196,196,156,156,snapshot_2026_08_13.json,snapshot_2026_08_06.json
83,pswbsf/syracuse-ny,syracuse-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,40,40,161,161,121,121,snapshot_2026_08_13.json,snapshot_2026_08_06.json
84,bean1322/toledo-oh-map.git,toledo-oh-map.git,bean1322,bean1322,https://github.com/bean1322,1,40,40,150,150,110,110,snapshot_2026_08_13.json,snapshot_2026_08_06.json
85,xoaninc/madrid-transit-pack,madrid-transit-pack,xoaninc,xoaninc,https://github.com/xoaninc,1,35,35,55,55,20,20,snapshot_2026_08_13.json,snapshot_2026_08_06.json
86,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,33,33,791,791,758,758,snapshot_2026_08_13.json,snapshot_2026_08_06.json
87,worstboyinaustral1a/subway-builder-za,subway-builder-za,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,32,32,325,325,293,293,snapshot_2026_08_13.json,snapshot_2026_08_06.json
88,barkuperman/anysave,AnySave,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,30,30,73,73,43,43,snapshot_2026_08_13.json,snapshot_2026_08_06.json
89,bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo,bquelhas,bquelhas,https://github.com/bquelhas,1,29,29,807,807,778,778,snapshot_2026_08_13.json,snapshot_2026_08_06.json
90,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,25,25,601,601,576,576,snapshot_2026_08_13.json,snapshot_2026_08_06.json
91,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,24,24,691,691,667,667,snapshot_2026_08_13.json,snapshot_2026_08_06.json
92,lexenygma/sb-brussels,sb-brussels,lexenygma,lexenygma,https://github.com/lexenygma,1,24,24,57,57,33,33,snapshot_2026_08_13.json,snapshot_2026_08_06.json
93,jaytotheay/subwaybuilder-map,subwaybuilder-map,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,23,23,105,105,82,82,snapshot_2026_08_13.json,snapshot_2026_08_06.json
94,nerdiesanders/subway-builder-spi,subway-builder-spi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,22,22,22,22,0,0,snapshot_2026_08_13.json,snapshot_2026_08_06.json
95,jcpires/subway-builder-idf,subway-builder-idf,JcPires,JcPires,https://github.com/JcPires,1,19,19,19,19,0,0,snapshot_2026_08_13.json,snapshot_2026_08_06.json
96,kaicardenas0618/chinese-trains,chinese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,16,16,483,483,467,467,snapshot_2026_08_13.json,snapshot_2026_08_06.json
