rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
41,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,14,14,246,246,232,232,snapshot_2026_09_08.json,snapshot_2026_09_01.json
42,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,14,14,163,163,149,149,snapshot_2026_09_08.json,snapshot_2026_09_01.json
43,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,1,1,0,13,13,607,607,594,594,snapshot_2026_09_08.json,snapshot_2026_09_01.json
44,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,11,11,369,369,358,358,snapshot_2026_09_08.json,snapshot_2026_09_01.json
45,giannons46,giannons46,https://github.com/giannons46,1,1,0,8,8,170,170,162,162,snapshot_2026_09_08.json,snapshot_2026_09_01.json
46,hernang87,hernang87,https://github.com/hernang87,1,1,0,7,7,142,142,135,135,snapshot_2026_09_08.json,snapshot_2026_09_01.json
47,JcPires,JcPires,https://github.com/JcPires,1,1,0,6,6,93,93,87,87,snapshot_2026_09_08.json,snapshot_2026_09_01.json
48,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,4,4,144,144,140,140,snapshot_2026_09_08.json,snapshot_2026_09_01.json
49,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,3,3,314,314,311,311,snapshot_2026_09_08.json,snapshot_2026_09_01.json
50,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,3,3,212,212,209,209,snapshot_2026_09_08.json,snapshot_2026_09_01.json
51,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,0,0,14278,14278,14278,14278,snapshot_2026_09_08.json,snapshot_2026_09_01.json
52,IMB11,IMB11,https://github.com/IMB11,2,0,2,0,0,1288,1288,1288,1288,snapshot_2026_09_08.json,snapshot_2026_09_01.json
53,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,0,0,379,379,379,379,snapshot_2026_09_08.json,snapshot_2026_09_01.json
54,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,0,0,268,268,268,268,snapshot_2026_09_08.json,snapshot_2026_09_01.json
55,matematysek,matematysek,https://github.com/matematysek,1,0,1,0,0,23,23,23,23,snapshot_2026_09_08.json,snapshot_2026_09_01.json
56,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,2,0,0,0,0,0,0,snapshot_2026_09_08.json,snapshot_2026_09_01.json
