rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
29,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,ROM,IT,1920000,28808,10725,2001,5.35,0.186,0.197,0.157,0.143,0.171,0.93,2347,537,1011.08,94.85,181,2050.97,46.78,8405.5,11463.49,2,0.42
30,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UKY,JP,1844331,29565,9298,1411,6.59,0.157,0.178,0.138,0.167,0.147,0.96,1740,503,1483.13,88.09,507,1570.78,83.2,5711,9568.59,2,0.4
31,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,NAP,IT,1695981,21250,10998,1480,7.42,0.183,0.186,0.169,0.15,0.176,0.82,1452,819,1202.87,95.2,232,1844.66,62.09,10737.8,13565.74,2,0.51
32,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,YVR,CA,1677021,13943,5740,1730,3.3,0.276,0.31,0.283,0.392,0.28,0.78,1787,821,1126.07,85.84,467,1177.52,82.25,9934,13097.77,2,0.52
33,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FUK,JP,1673777,23539,6057,940,6.44,0.183,0.187,0.148,0.171,0.165,0.9,1035,963,1999.26,89.04,661,1997.07,89.15,5878,8482.88,1,0.29
34,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FSZ,JP,1563790,26863,9891,2199,4.49,0.218,0.227,0.195,0.217,0.206,0.87,2603,344,785.41,90.4,385,868.21,81.86,6157,10432.83,2,0.64
35,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SPK,JP,1536538,26512,9081,1164,7.79,0.16,0.173,0.129,0.167,0.143,0.93,1431,1145,1733.67,76.12,567,1425.01,92.61,5506,8975.21,1,0.28
36,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,PR,PR,1434290,30194,8273,5276,1.57,0.41,0.495,0.414,0.513,0.412,0.77,9111,126,326.49,83.26,112,298.05,91.21,9855,16009.16,1,0.48
37,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,OC,US,1429155,137792,2735,1539,1.77,0.561,0.599,0.379,0.43,0.461,0.64,2048,701,957.78,96.95,342,968,95.84,19707,22056.51,2,0.52
38,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,CAI,EG,1422928,8405,5210,1288,4.04,0.527,0.792,0.37,0.937,0.442,0.12,2564,1334,2868.41,72.67,303,1432.25,28.34,26833,30949.23,2,0.78
39,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UKB,JP,1405864,21853,6601,1072,6.12,0.172,0.185,0.151,0.185,0.161,0.93,1200,601,1533.55,84.79,516,1450,89.83,6336,10335.76,3,0.5
40,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HIJ,JP,1334069,20616,6623,1599,4.14,0.191,0.21,0.166,0.195,0.178,0.98,2345,293,995.4,83.8,258,1008.24,82.74,6273,10692.7,1,0.41
41,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,LAS,US,1296870,79319,2373,1265,1.87,0.472,0.496,0.318,0.34,0.387,0.75,1600,825,1148.69,89.25,281,1132.64,90.51,18717,19878.97,1,0.45
42,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,DAY,US,1226849,123534,5835,4705,1.24,0.664,0.755,0.461,0.531,0.553,0.41,11934,117,266.17,97.96,91,314.29,82.87,30096,37089.7,2,0.7
43,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,PYO,KP,1210086,7078,267,135,1.95,0.458,0.548,0.443,0.5,0.45,0.61,220,7399,8638.28,100,320,643.25,53.33,5527,5982.6,1,0.15
44,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,ESVA,ES,1179110,8675,4882,1355,3.6,0.188,0.22,0.177,0.211,0.182,1,2872,355,984.75,88.34,312,1876.75,46.35,9534.3,14325.14,1,0.75
45,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,MCO,US,1178384,100423,2364,1674,1.41,0.655,0.705,0.378,0.435,0.497,0.65,2851,515,730.99,96.3,152,745.19,94.15,24503,26511.7,3,0.61
46,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,VPT,IT,1165753,12448,8150,2365,3.44,0.196,0.224,0.185,0.185,0.19,0.99,3282,307,549.97,89.6,108,1452.96,33.91,11692.1,19071.63,2,0.67
47,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,TPA,US,1041220,92488,3371,2245,1.5,0.618,0.667,0.456,0.502,0.531,0.59,3726,346,470.47,98.57,154,493.82,93.81,28158,30573.96,3,0.66
48,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,JHB,MY,1026080,11110,877,472,1.85,0.15,0.346,0.374,0.597,0.237,0.88,1240,1617,4980.97,43.64,1666,3705.47,80.51,17476,18928.73,2,0.8
49,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SDJ,JP,1016521,16010,5082,1097,4.63,0.195,0.205,0.17,0.198,0.182,0.94,1320,410,1103.42,83.96,415,1144.5,80.95,6096,8846.55,1,0.21
50,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,BWI,US,972032,75010,2920,1970,1.47,0.541,0.601,0.457,0.496,0.497,0.65,3017,304,493.1,99.54,169,497.13,96.7,25523,27835.66,1,0.59
51,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,GRD,IT,959863,12896,7994,2066,3.87,0.192,0.212,0.169,0.183,0.18,0.99,2331,304,525.57,88.33,188,922.73,50.34,6838.2,19773.8,3,0.65
52,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OKJ,JP,948854,16352,6665,1805,3.69,0.218,0.242,0.191,0.218,0.204,0.94,2457,220,595.86,88.2,245,717.59,73.24,7833,11460.53,2,0.39
53,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,SAT,US,946870,106855,4525,3684,1.23,0.639,0.748,0.447,0.55,0.534,0.38,10159,87,271.22,94.76,71,369.76,69.49,31387,36215.03,2,0.55
54,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,TOR,IT,910203,14127,5885,1408,4.17,0.184,0.197,0.171,0.174,0.178,0.98,1731,214,716.88,90.13,151,1298.15,49.79,8167.5,11013.5,1,0.16
55,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KKJ,JP,903453,18892,6035,1207,4.99,0.19,0.204,0.166,0.195,0.178,0.93,1392,302,852.77,87.74,382,906.1,82.6,6136,9849.29,1,0.45
56,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,YYC,CA,890139,7422,3571,1215,2.93,0.292,0.331,0.325,0.473,0.308,0.75,1356,848,922.11,79.34,369,835.46,87.57,12593,14438.33,1,0.42
57,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,PEN,MY,852976,6708,933,424,2.18,0.608,0.681,0.494,0.575,0.548,0.32,1108,1237,5605.44,35.85,919,2337.4,83.49,14908,15605.07,2,0.73
58,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,PRM,IT,841395,9437,5915,1723,3.43,0.195,0.23,0.175,0.235,0.185,1,2664,297,583.46,83.63,140,1218.9,40.05,11765.3,18423.4,4,0.64
59,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,BNA,US,838863,60682,2807,2152,1.3,0.626,0.73,0.391,0.459,0.495,0.51,5091,225,394.35,98.84,59,439.65,88.62,30137,32582.08,1,0.55
60,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OKA,JP,820250,15203,3915,774,5.05,0.185,0.206,0.16,0.192,0.172,0.95,976,451,1173.58,90.18,390,1162.46,86.82,5053,9104.75,2,0.31
61,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,YEG,CA,798307,6612,3488,1297,2.68,0.3,0.332,0.322,0.438,0.311,0.78,1453,687,824.64,74.56,342,780.67,78.72,12640,15753.14,1,0.39
62,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,SJU,PR,773862,9703,2901,1364,2.12,0.363,0.401,0.39,0.42,0.376,0.72,1762,412,825.32,68.62,253,618.47,91.5,7648,9945.51,3,0.4
63,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,ORF,US,760588,61472,2322,1753,1.32,0.608,0.66,0.437,0.529,0.515,0.44,4624,232,451.64,96.06,133,512.08,84.71,25759,30861.67,2,0.86
64,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,SMF,US,755810,55081,2539,1785,1.41,0.556,0.59,0.415,0.46,0.48,0.6,3687,264,472.96,89.52,165,504.52,83.75,21613,24993.98,2,0.64
65,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,MEM,US,739736,39229,1534,1203,1.26,0.711,0.751,0.467,0.534,0.576,0.46,2589,422,677.93,90.69,228,713.58,86.12,18382,19513.84,1,0.52
66,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,YOW,CA,738872,6237,3373,1472,2.29,0.313,0.4,0.336,0.461,0.324,0.8,2442,324,601.09,83.49,272,684.88,73.3,12303,15106.95,3,0.41
67,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,DUB,IE,732172,3391,3265,764,4.26,0.161,0.175,0.156,0.182,0.159,1,707,1839,2123.73,84.95,523,1153.26,82.98,7976,8431.19,2,0.18
68,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,AMS,NL,720820,6522,530,281,1.86,0.398,0.616,0.447,0.712,0.422,0.68,378,3214,3993.59,99.29,1704,2517.27,98.93,14886,15779.72,1,0.31
69,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TOY,JP,673188,16717,7405,1676,4.41,0.205,0.221,0.183,0.208,0.194,0.92,1847,198,434.7,92.36,201,503.98,79.65,7376,11215.98,3,0.52
70,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,BAR,IT,660455,7869,3875,996,3.88,0.196,0.228,0.152,0.157,0.173,1,1289,371,770.35,85.84,156,1345.12,49.3,10265,11686.47,3,0.6
71,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,JAX,US,644217,52553,2775,2149,1.28,0.64,0.727,0.434,0.512,0.527,0.47,5160,170,317.6,94.37,97,390.11,76.83,29868,33563.33,2,0.58
72,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KIJ,JP,634641,14422,5697,1316,4.32,0.185,0.199,0.165,0.19,0.175,0.98,1438,177,544.95,88.45,219,650.22,74.16,6603,9726.66,1,0.39
73,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,RIV,IT,630314,7433,4349,1141,3.81,0.19,0.215,0.166,0.189,0.178,1,1678,326,639.38,86.33,149,1253.01,44.08,9912.4,16302.08,6,0.75
