rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
119,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,72,72,snapshot_2026_04_25.json
120,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,71,71,snapshot_2026_04_25.json
121,map,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,70,70,snapshot_2026_04_25.json
122,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,70,70,snapshot_2026_04_25.json
123,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,69,69,snapshot_2026_04_25.json
124,map,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,64,64,snapshot_2026_04_25.json
125,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,64,64,snapshot_2026_04_25.json
126,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,63,63,snapshot_2026_04_25.json
127,map,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,63,63,snapshot_2026_04_25.json
128,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,63,63,snapshot_2026_04_25.json
129,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,61,61,snapshot_2026_04_25.json
130,map,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,60,34,snapshot_2026_04_25.json
131,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,57,57,snapshot_2026_04_25.json
132,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,56,56,snapshot_2026_04_25.json
133,map,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,52,52,snapshot_2026_04_25.json
134,map,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,52,52,snapshot_2026_04_25.json
135,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,51,51,snapshot_2026_04_25.json
136,map,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,49,49,snapshot_2026_04_25.json
137,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,49,49,snapshot_2026_04_25.json
138,map,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,48,48,snapshot_2026_04_25.json
139,map,saltillo,Saltillo,rslurry,slurry,https://github.com/rslurry,46,46,snapshot_2026_04_25.json
140,map,yukina-asahikawa,旭川 (Asahikawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,45,45,snapshot_2026_04_25.json
141,map,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,43,43,snapshot_2026_04_25.json
142,map,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,42,42,snapshot_2026_04_25.json
143,map,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,41,41,snapshot_2026_04_25.json
144,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,40,40,snapshot_2026_04_25.json
145,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,40,40,snapshot_2026_04_25.json
146,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,39,39,snapshot_2026_04_25.json
147,map,yukina-tsugaru,津軽 (Tsugaru),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,39,39,snapshot_2026_04_25.json
148,map,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,34,34,snapshot_2026_04_25.json
149,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,29,29,snapshot_2026_04_25.json
150,map,yukina-nakadoori,中通り (Nakadōri),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,24,24,snapshot_2026_04_25.json
151,map,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,20,20,snapshot_2026_04_25.json
152,map,mfn-rdu,Raleigh,crumpetime,muffintime,https://github.com/crumpetime,19,19,snapshot_2026_04_25.json
153,map,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,18,18,snapshot_2026_04_25.json
154,map,toledo-oh,Toledo,bean1322,bean1322,https://github.com/bean1322,17,17,snapshot_2026_04_25.json
155,map,jeju-4,Jeju (40km×40km),kimth9,kimth9,https://github.com/kimth9,15,15,snapshot_2026_04_25.json
156,map,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,13,13,snapshot_2026_04_25.json
157,map,ipoh,Ipoh,nzh0172,naz,https://github.com/nzh0172,13,13,snapshot_2026_04_25.json
158,map,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,snapshot_2026_04_25.json
159,map,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,8,8,snapshot_2026_04_25.json
160,map,yukina-morioka,盛岡 (Morioka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,snapshot_2026_04_25.json
161,map,yukina-tottori,鳥取 (Tottori),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,snapshot_2026_04_25.json
